Timestamp,label,AccX,AccY,AccZ,AccX_kurt,AccY_kurt,AccZ_kurt,AccX_mean,AccY_mean,AccZ_mean,AccX_median,AccY_median,AccZ_median,AccX_min,AccY_min,AccZ_min,AccX_max,AccY_max,AccZ_max,AccX_quan_25,AccY_quan_25,AccZ_quan_25,AccX_quan_50,AccY_quan_50,AccZ_quan_50,AccX_quan_75,AccY_quan_75,AccZ_quan_75,AccX_skew,AccY_skew,AccZ_skew,AccX_sum,AccY_sum,AccZ_sum,AccX_std,AccY_std,AccZ_std,AccX_var,AccY_var,AccZ_var,SignalMagnitudeArea,VectorMagnitude,MovementVariation,Energy,Entropy
1693029534,DRN,-1.41,-7.34,5.94,1.601776361677309,3.998131213422058,8.700653757520154,-2.3494936708860763,-6.471772151898732,6.370632911392406,-2.34,-6.56,6.41,-4.06,-8.75,3.91,0.47,-4.84,10.47,-2.81,-6.72,6.09,-2.34,-6.56,6.41,-1.88,-6.25,6.72,0.4124719065537808,-0.410850884832727,1.0111675666949578,-185.61,-511.26999999999987,503.28000000000003,0.7494440652982122,0.5462570999214021,0.8129013277431298,0.5616664070107109,0.2983968192145407,0.6608085686465434,1693029542.75,41146.440007004254,0.3099999999999996,8.215956606977638e+36,6.09093006842533e+19
1693029594,DRN,-2.19,-6.72,6.41,0.945528499910925,0.9754139574018752,6.978699792629666,-2.6265822784810124,-6.153924050632912,6.596075949367089,-2.34,-6.25,6.56,-5.47,-7.5,4.53,-0.78,-3.44,11.09,-2.97,-6.72,6.09,-2.34,-6.25,6.56,-2.03,-5.78,7.03,-1.078210714420324,0.974579464881077,1.6024485184302955,-207.5,-486.1600000000001,521.09,0.9527421774042537,0.8431783850583078,0.9122435259118025,0.9077176566049985,0.710949789029536,0.8321882505679975,1693029542.91,41146.44000505997,60.62,8.215956606977638e+36,6.090930065666177e+19
1693029594,DRN,-2.66,-6.56,6.41,1.320354973240509,0.14395547205657122,1.4954368567236274,-2.9132911392405063,-5.128354430379748,7.35582278481013,-2.34,-5.16,7.66,-6.56,-6.88,5.0,-1.56,-2.81,8.59,-3.2,-5.62,7.11,-2.34,-5.16,7.66,-2.19,-4.84,7.81,-1.4889325620895388,0.5162384951043413,-1.3406459489004854,-230.15,-405.14000000000004,581.1100000000002,1.2138978556265922,0.8919216223754693,0.7864927137011288,1.4735480038948392,0.7955241804608894,0.6185707887049657,1693029603.22,41146.44073039611,0.46999999999999975,8.215957771652944e+36,6.090930504872681e+19
1692380908,DRN,-2.34,-5.94,7.19,1.700035938336908,11.451029313639525,2.938092154543279,-1.588481012658228,-7.079620253164556,5.978987341772152,-1.56,-7.19,5.94,-2.5,-7.81,4.53,-1.09,-5.31,7.19,-1.72,-7.19,5.78,-1.56,-7.19,5.94,-1.41,-7.03,6.09,-1.1371113154655124,2.8428951197486176,0.11837239707094664,-125.49000000000001,-559.29,472.34000000000003,0.2855498008008811,0.36574280944602805,0.4047366821638447,0.08153868873742288,0.1337678026614736,0.16381178188899703,1692357083.28,41138.267667951215,0.6200000000000006,8.202911109416838e+36,6.085978701809706e+19
1692623460,DRN,-1.25,-6.88,5.62,7.8325326214285305,11.02576841026373,17.47536555927394,-2.808101265822785,-7.21088607594937,5.3843037974683545,-2.34,-7.19,5.16,-12.19,-17.81,1.88,0.78,-0.16,19.53,-3.59,-7.97,3.91,-2.34,-7.19,5.16,-1.6400000000000001,-6.41,6.72,-2.0651331910379414,-1.2023147826710148,3.027595117312785,-221.84,-569.6600000000002,425.36,1.8349904463870406,2.0039475080600404,2.29826505553607,3.3671899383317103,4.015805615060046,5.282022265498215,1692380916.13,41138.55733821982,0.4600000000000004,8.203373196557091e+36,6.086154154133863e+19
1692623460,DRN,-4.84,-6.09,5.62,0.6770788663495058,2.9376151366840033,2.821428776409315,-2.302151898734177,-6.719240506329113,6.024430379746836,-2.19,-6.72,6.09,-4.84,-8.59,3.28,0.31,-5.0,7.19,-2.89,-7.03,5.62,-2.19,-6.72,6.09,-1.56,-6.41,6.41,-0.5345378751486745,-0.44705458062791414,-1.1020274376865409,-181.87,-530.8199999999999,475.93000000000006,0.9759488097206055,0.5131320921353755,0.7028672903067742,0.9524760791950666,0.2633045439792275,0.4940224277831872,1692623470.9299998,41141.505187219394,0.14999999999999947,8.2080770368386e+36,6.087939849530232e+19
1692382412,DRN,-1.72,-6.88,5.94,7.576209701257099,3.341488539418323,5.837676621602675,3.76632911392405,-8.405822784810125,-1.881139240506329,4.06,-8.59,-2.19,-5.47,-9.53,-4.69,7.34,-5.16,6.25,3.75,-8.91,-3.045,4.06,-8.59,-2.19,4.765000000000001,-8.045,-1.72,-2.6793155293896853,1.4642517517105544,2.4262808672188703,297.53999999999996,-664.0599999999998,-148.60999999999999,2.1592657686181496,0.8089081079866269,2.3129423969579466,4.662428659526128,0.6543323271665046,5.349702531645571,1692382420.6000001,41138.57561219153,0.9399999999999997,8.2034023575803e+36,6.086165222607517e+19
1690895631,DRN,4.53,-8.44,-2.97,5.560288267379493,13.89159596428773,9.167555891709435,-0.031012658227848138,-8.934556962025315,-3.017721518987342,-0.62,-9.06,-2.97,-1.56,-10.0,-6.41,5.47,-5.94,-0.31,-0.78,-9.22,-3.28,-0.62,-9.06,-2.97,-0.08,-8.75,-2.66,2.5344152200349166,2.9102871056814967,-0.8806180333153321,-2.450000000000003,-705.8299999999999,-238.4,1.5864551638849433,0.5273781241351346,0.6886757068071887,2.5168399870172022,0.2781276858162935,0.474274229146381,1690891550.97,41120.45153071644,1.2500000000000009,8.174533970215178e+36,6.075195008253728e+19
1690895692,DRN,-0.78,-8.59,-3.44,1.7995071943251628,-0.19359802895449985,0.1203297054678849,-0.5035443037974684,-9.021772151898736,-3.0210126582278485,-0.47,-9.06,-2.97,-1.56,-9.69,-3.75,0.0,-8.59,-2.5,-0.7,-9.22,-3.12,-0.47,-9.06,-2.97,-0.31,-8.91,-2.81,-0.8950795171369476,-0.23611480480346886,-0.36145927836609043,-39.78,-712.7200000000001,-238.66000000000003,0.2642261947392197,0.23656602858653963,0.2986919987112565,0.06981548198636807,0.05596348588120749,0.08921691009412526,1690895640.37,41120.50123271846,0.6300000000000008,8.174613120150633e+36,6.075225072108197e+19
1690895753,DRN,-0.47,-8.91,-3.28,0.5384157894263288,1.764128922589148,-0.37353782406036595,-0.7527848101265823,-8.94012658227848,-3.008354430379747,-0.94,-8.91,-2.97,-2.34,-10.0,-3.91,0.62,-8.28,-2.03,-1.09,-9.06,-3.28,-0.94,-8.91,-2.97,-0.5449999999999999,-8.75,-2.66,0.35678972911174217,-0.5713817315678812,-0.012073849190791535,-59.47,-706.27,-237.66000000000003,0.5497433823457781,0.3003822081132471,0.4142352557756956,0.30221778643297637,0.09022947095099011,0.17159084712755593,1690895701.38,41120.501974319326,2.8,8.174614299765551e+36,6.0752255216843735e+19
